park_name,category,category
Glacier Bay National Park and Preserve,Mammal,58
Glacier Bay National Park and Preserve,Nonvascular Plant,98
Glacier Bay National Park and Preserve,Reptile,3
Glacier Bay National Park and Preserve,Slug/Snail,37
Glacier Bay National Park and Preserve,Spider/Scorpion,3
Glacier Bay National Park and Preserve,Vascular Plant,822
Glacier National Park,Algae,2
Glacier National Park,Amphibian,6
Glacier National Park,Bird,277
Glacier National Park,Crab/Lobster/Shrimp,6
Glacier National Park,Fish,27
Glacier National Park,Fungi,276
Glacier National Park,Insect,197
Glacier National Park,Invertebrate,2
Glacier National Park,Mammal,69
Glacier National Park,Nonvascular Plant,404
Glacier National Park,Reptile,4
Glacier National Park,Slug/Snail,20
Glacier National Park,Vascular Plant,1266
Grand Canyon National Park,Amphibian,15
Grand Canyon National Park,Bird,456
Grand Canyon National Park,Fish,29
Grand Canyon National Park,Insect,57
Grand Canyon National Park,Invertebrate,1
Grand Canyon National Park,Mammal,106
Grand Canyon National Park,Reptile,76
Grand Canyon National Park,Slug/Snail,2
Grand Canyon National Park,Spider/Scorpion,142
Grand Canyon National Park,Vascular Plant,1738
Grand Teton National Park,Algae,1
Grand Teton National Park,Amphibian,7
Grand Teton National Park,Bird,266
Grand Teton National Park,Crab/Lobster/Shrimp,1
Grand Teton National Park,Fish,21
Grand Teton National Park,Fungi,28
Grand Teton National Park,Insect,154
Grand Teton National Park,Invertebrate,5
Grand Teton National Park,Mammal,74
Grand Teton National Park,Reptile,5
Grand Teton National Park,Slug/Snail,4
Grand Teton National Park,Spider/Scorpion,1
Grand Teton National Park,Vascular Plant,1463
Great Basin National Park,Amphibian,22
Great Basin National Park,Bird,330
Great Basin National Park,Crab/Lobster/Shrimp,6
Great Basin National Park,Fish,21
Great Basin National Park,Fungi,15
Great Basin National Park,Insect,456
Great Basin National Park,Invertebrate,29
Great Basin National Park,Mammal,103
Great Basin National Park,Nonvascular Plant,16
Great Basin National Park,Reptile,58
Great Basin National Park,Slug/Snail,30
Great Basin National Park,Spider/Scorpion,18
Great Basin National Park,Vascular Plant,1549
Great Sand Dunes National Park and Preserve,Amphibian,6
Great Sand Dunes National Park and Preserve,Bird,240
Great Sand Dunes National Park and Preserve,Fish,6
Great Sand Dunes National Park and Preserve,Insect,1
Great Sand Dunes National Park and Preserve,Mammal,68
Great Sand Dunes National Park and Preserve,Nonvascular Plant,1
Great Sand Dunes National Park and Preserve,Reptile,8
Great Sand Dunes National Park and Preserve,Vascular Plant,622
Great Smoky Mountains National Park,Amphibian,61
Great Smoky Mountains National Park,Bird,272
Great Smoky Mountains National Park,Crab/Lobster/Shrimp,10
Great Smoky Mountains National Park,Fish,107
Great Smoky Mountains National Park,Fungi,632
Great Smoky Mountains National Park,Insect,2414
Great Smoky Mountains National Park,Invertebrate,84
Great Smoky Mountains National Park,Mammal,94
Great Smoky Mountains National Park,Nonvascular Plant,528
Great Smoky Mountains National Park,Reptile,51
Great Smoky Mountains National Park,Slug/Snail,92
Great Smoky Mountains National Park,Spider/Scorpion,104
Great Smoky Mountains National Park,Vascular Plant,2174
Guadalupe Mountains National Park,Amphibian,12
Guadalupe Mountains National Park,Bird,272
Guadalupe Mountains National Park,Crab/Lobster/Shrimp,5
Guadalupe Mountains National Park,Fish,3
Guadalupe Mountains National Park,Fungi,66
Guadalupe Mountains National Park,Insect,115
Guadalupe Mountains National Park,Invertebrate,7
Guadalupe Mountains National Park,Mammal,76
Guadalupe Mountains National Park,Nonvascular Plant,5
Guadalupe Mountains National Park,Reptile,56
Guadalupe Mountains National Park,Slug/Snail,58
Guadalupe Mountains National Park,Spider/Scorpion,2
Guadalupe Mountains National Park,Vascular Plant,1069
Haleakala National Park,Amphibian,3
Haleakala National Park,Bird,44
Haleakala National Park,Crab/Lobster/Shrimp,18
Haleakala National Park,Fish,6
Haleakala National Park,Fungi,66
Haleakala National Park,Insect,1061
Haleakala National Park,Invertebrate,37
Haleakala National Park,Mammal,15
Haleakala National Park,Nonvascular Plant,227
Haleakala National Park,Reptile,10
Haleakala National Park,Slug/Snail,47
Haleakala National Park,Spider/Scorpion,46
Haleakala National Park,Vascular Plant,1000
Hawaii Volcanoes National Park,Amphibian,4
Hawaii Volcanoes National Park,Bird,78
Hawaii Volcanoes National Park,Crab/Lobster/Shrimp,56
Hawaii Volcanoes National Park,Fish,4
Hawaii Volcanoes National Park,Fungi,7
Hawaii Volcanoes National Park,Insect,1429
Hawaii Volcanoes National Park,Invertebrate,173
Hawaii Volcanoes National Park,Mammal,15
Hawaii Volcanoes National Park,Nonvascular Plant,135
Hawaii Volcanoes National Park,Reptile,13
Hawaii Volcanoes National Park,Slug/Snail,71
Hawaii Volcanoes National Park,Spider/Scorpion,101
Hawaii Volcanoes National Park,Vascular Plant,1212
Hot Springs National Park,Algae,24
Hot Springs National Park,Amphibian,27
Hot Springs National Park,Bird,387
Hot Springs National Park,Crab/Lobster/Shrimp,9
Hot Springs National Park,Fish,90
Hot Springs National Park,Insect,15
Hot Springs National Park,Invertebrate,22
Hot Springs National Park,Mammal,52
Hot Springs National Park,Nonvascular Plant,18
Hot Springs National Park,Reptile,52
Hot Springs National Park,Slug/Snail,2
Hot Springs National Park,Vascular Plant,1252
Isle Royale National Park,Amphibian,13
Isle Royale National Park,Bird,261
Isle Royale National Park,Crab/Lobster/Shrimp,14
Isle Royale National Park,Fish,63
Isle Royale National Park,Invertebrate,21
Isle Royale National Park,Mammal,26
Isle Royale National Park,Nonvascular Plant,1
Isle Royale National Park,Reptile,5
Isle Royale National Park,Vascular Plant,993
Joshua Tree National Park,Algae,5
Joshua Tree National Park,Amphibian,5
Joshua Tree National Park,Bird,301
Joshua Tree National Park,Fish,1
Joshua Tree National Park,Fungi,38
Joshua Tree National Park,Insect,342
Joshua Tree National Park,Invertebrate,10
Joshua Tree National Park,Mammal,67
Joshua Tree National Park,Nonvascular Plant,6
Joshua Tree National Park,Reptile,52
Joshua Tree National Park,Spider/Scorpion,153
Joshua Tree National Park,Vascular Plant,1314
Katmai National Park and Preserve,Amphibian,1
Katmai National Park and Preserve,Bird,222
Katmai National Park and Preserve,Crab/Lobster/Shrimp,4
Katmai National Park and Preserve,Fish,44
Katmai National Park and Preserve,Fungi,105
Katmai National Park and Preserve,Insect,7
Katmai National Park and Preserve,Invertebrate,29
Katmai National Park and Preserve,Mammal,54
Katmai National Park and Preserve,Nonvascular Plant,20
Katmai National Park and Preserve,Slug/Snail,7
Katmai National Park and Preserve,Vascular Plant,732
Kenai Fjords National Park,Amphibian,1
Kenai Fjords National Park,Bird,235
Kenai Fjords National Park,Fish,42
Kenai Fjords National Park,Fungi,2
Kenai Fjords National Park,Insect,3
Kenai Fjords National Park,Invertebrate,42
Kenai Fjords National Park,Mammal,55
Kenai Fjords National Park,Slug/Snail,4
Kenai Fjords National Park,Vascular Plant,673
Kobuk Valley National Park,Amphibian,1
Kobuk Valley National Park,Bird,125
Kobuk Valley National Park,Fish,26
Kobuk Valley National Park,Fungi,333
Kobuk Valley National Park,Mammal,38
Kobuk Valley National Park,Nonvascular Plant,26
Kobuk Valley National Park,Vascular Plant,476
Lake Clark National Park and Preserve,Amphibian,1
Lake Clark National Park and Preserve,Bird,193
Lake Clark National Park and Preserve,Crab/Lobster/Shrimp,1
Lake Clark National Park and Preserve,Fish,55
Lake Clark National Park and Preserve,Fungi,220
Lake Clark National Park and Preserve,Insect,3
Lake Clark National Park and Preserve,Invertebrate,6
Lake Clark National Park and Preserve,Mammal,50
Lake Clark National Park and Preserve,Nonvascular Plant,281
Lake Clark National Park and Preserve,Vascular Plant,1197
Lassen Volcanic National Park,Algae,2
Lassen Volcanic National Park,Amphibian,17
Lassen Volcanic National Park,Bird,245
Lassen Volcanic National Park,Crab/Lobster/Shrimp,15
Lassen Volcanic National Park,Fish,20
Lassen Volcanic National Park,Fungi,51
Lassen Volcanic National Park,Insect,95
Lassen Volcanic National Park,Invertebrate,18
Lassen Volcanic National Park,Mammal,100
Lassen Volcanic National Park,Nonvascular Plant,160
Lassen Volcanic National Park,Reptile,22
Lassen Volcanic National Park,Slug/Snail,6
Lassen Volcanic National Park,Vascular Plant,1046
Mammoth Cave National Park,Amphibian,33
